GEO.id,GEO.id2,GEO.display-label,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
0500000US05095,05095,"Monroe County, Arkansas",17470,1419,(X),(X)
0500000US05097,05097,"Montgomery County, Arkansas",19975,1646,(X),(X)
0500000US05099,05099,"Nevada County, Arkansas",17277,1312,(X),(X)
0500000US05101,05101,"Newton County, Arkansas",18038,1298,(X),(X)
0500000US05103,05103,"Ouachita County, Arkansas",19810,1001,(X),(X)
0500000US05105,05105,"Perry County, Arkansas",22328,2412,(X),(X)
0500000US05107,05107,"Phillips County, Arkansas",16700,1201,(X),(X)
0500000US05109,05109,"Pike County, Arkansas",19294,1051,(X),(X)
0500000US05111,05111,"Poinsett County, Arkansas",17202,742,(X),(X)
0500000US05113,05113,"Polk County, Arkansas",19004,1861,(X),(X)
0500000US05115,05115,"Pope County, Arkansas",20047,706,(X),(X)
0500000US05117,05117,"Prairie County, Arkansas",19329,925,(X),(X)
0500000US05119,05119,"Pulaski County, Arkansas",27708,541,(X),(X)
0500000US05121,05121,"Randolph County, Arkansas",19011,1236,(X),(X)
0500000US05123,05123,"St. Francis County, Arkansas",15971,1016,(X),(X)
0500000US05125,05125,"Saline County, Arkansas",26050,680,(X),(X)
0500000US05127,05127,"Scott County, Arkansas",17833,1133,(X),(X)
0500000US05129,05129,"Searcy County, Arkansas",18533,1690,(X),(X)
0500000US05131,05131,"Sebastian County, Arkansas",23182,832,(X),(X)
0500000US05133,05133,"Sevier County, Arkansas",17371,848,(X),(X)
0500000US05135,05135,"Sharp County, Arkansas",16848,836,(X),(X)
0500000US05137,05137,"Stone County, Arkansas",18944,1708,(X),(X)
0500000US05139,05139,"Union County, Arkansas",21779,864,(X),(X)
0500000US05141,05141,"Van Buren County, Arkansas",19047,1123,(X),(X)
0500000US05143,05143,"Washington County, Arkansas",24638,860,(X),(X)
0500000US05145,05145,"White County, Arkansas",22547,1330,(X),(X)
0500000US05147,05147,"Woodruff County, Arkansas",18377,1795,(X),(X)
0500000US05149,05149,"Yell County, Arkansas",18288,948,(X),(X)
0500000US06001,06001,"Alameda County, California",37285,279,(X),(X)
0500000US06003,06003,"Alpine County, California",21415,3057,(X),(X)
0500000US06005,06005,"Amador County, California",27473,2016,(X),(X)
0500000US06007,06007,"Butte County, California",24259,637,(X),(X)
0500000US06009,06009,"Calaveras County, California",29553,1398,(X),(X)
0500000US06011,06011,"Colusa County, California",21897,1712,(X),(X)
0500000US06013,06013,"Contra Costa County, California",39313,398,(X),(X)
0500000US06015,06015,"Del Norte County, California",19560,1382,(X),(X)
0500000US06017,06017,"El Dorado County, California",35588,844,(X),(X)
0500000US06019,06019,"Fresno County, California",20408,258,(X),(X)
0500000US06021,06021,"Glenn County, California",21313,1880,(X),(X)
0500000US06023,06023,"Humboldt County, California",23367,628,(X),(X)
0500000US06025,06025,"Imperial County, California",16143,463,(X),(X)
0500000US06027,06027,"Inyo County, California",27850,1226,(X),(X)
0500000US06029,06029,"Kern County, California",20644,228,(X),(X)
0500000US06031,06031,"Kings County, California",18707,588,(X),(X)
0500000US06033,06033,"Lake County, California",21407,906,(X),(X)
0500000US06035,06035,"Lassen County, California",19274,1210,(X),(X)
0500000US06037,06037,"Los Angeles County, California",28337,113,(X),(X)
0500000US06039,06039,"Madera County, California",17970,543,(X),(X)
0500000US06041,06041,"Marin County, California",60236,1481,(X),(X)
0500000US06043,06043,"Mariposa County, California",28316,2011,(X),(X)
0500000US06045,06045,"Mendocino County, California",24059,1011,(X),(X)
0500000US06047,06047,"Merced County, California",18204,435,(X),(X)
0500000US06049,06049,"Modoc County, California",21001,1668,(X),(X)
0500000US06051,06051,"Mono County, California",29437,2465,(X),(X)
0500000US06053,06053,"Monterey County, California",24994,640,(X),(X)
0500000US06055,06055,"Napa County, California",36475,1110,(X),(X)
0500000US06057,06057,"Nevada County, California",32442,1105,(X),(X)
0500000US06059,06059,"Orange County, California",34817,229,(X),(X)
0500000US06061,06061,"Placer County, California",36022,564,(X),(X)
0500000US06063,06063,"Plumas County, California",30842,2730,(X),(X)
0500000US06065,06065,"Riverside County, California",23783,187,(X),(X)
0500000US06067,06067,"Sacramento County, California",27315,224,(X),(X)
0500000US06069,06069,"San Benito County, California",27239,812,(X),(X)
0500000US06071,06071,"San Bernardino County, California",21352,182,(X),(X)
0500000US06073,06073,"San Diego County, California",31266,197,(X),(X)
0500000US06075,06075,"San Francisco County, California",52220,734,(X),(X)
0500000US06077,06077,"San Joaquin County, California",22645,308,(X),(X)
0500000US06079,06079,"San Luis Obispo County, California",31060,590,(X),(X)
0500000US06081,06081,"San Mateo County, California",48278,535,(X),(X)
0500000US06083,06083,"Santa Barbara County, California",30589,456,(X),(X)
0500000US06085,06085,"Santa Clara County, California",43880,313,(X),(X)
0500000US06087,06087,"Santa Cruz County, California",33241,520,(X),(X)
0500000US06089,06089,"Shasta County, California",24107,471,(X),(X)
0500000US06091,06091,"Sierra County, California",29986,5447,(X),(X)
0500000US06093,06093,"Siskiyou County, California",22561,842,(X),(X)
0500000US06095,06095,"Solano County, California",29185,475,(X),(X)
0500000US06097,06097,"Sonoma County, California",34235,584,(X),(X)
0500000US06099,06099,"Stanislaus County, California",21922,389,(X),(X)
0500000US06101,06101,"Sutter County, California",23689,608,(X),(X)
0500000US06103,06103,"Tehama County, California",21263,768,(X),(X)
0500000US06105,06105,"Trinity County, California",22975,1710,(X),(X)
0500000US06107,06107,"Tulare County, California",17876,353,(X),(X)
0500000US06109,06109,"Tuolumne County, California",27054,1069,(X),(X)
0500000US06111,06111,"Ventura County, California",33435,416,(X),(X)
0500000US06113,06113,"Yolo County, California",28116,610,(X),(X)
0500000US06115,06115,"Yuba County, California",20471,921,(X),(X)
0500000US08001,08001,"Adams County, Colorado",25039,288,(X),(X)
0500000US08003,08003,"Alamosa County, Colorado",19524,1537,(X),(X)
0500000US08005,08005,"Arapahoe County, Colorado",34190,485,(X),(X)
0500000US08007,08007,"Archuleta County, Colorado",28884,2244,(X),(X)
0500000US08009,08009,"Baca County, Colorado",21361,1373,(X),(X)
0500000US08011,08011,"Bent County, Colorado",13544,3892,(X),(X)
0500000US08013,08013,"Boulder County, Colorado",39074,741,(X),(X)
0500000US08014,08014,"Broomfield County, Colorado",40135,1336,(X),(X)
0500000US08015,08015,"Chaffee County, Colorado",28064,2002,(X),(X)
0500000US08017,08017,"Cheyenne County, Colorado",23553,2388,(X),(X)
0500000US08019,08019,"Clear Creek County, Colorado",42812,4717,(X),(X)
0500000US08021,08021,"Conejos County, Colorado",18844,1732,(X),(X)
0500000US08023,08023,"Costilla County, Colorado",21809,2911,(X),(X)
0500000US08025,08025,"Crowley County, Colorado",10742,1413,(X),(X)
0500000US08027,08027,"Custer County, Colorado",22661,2926,(X),(X)
0500000US08029,08029,"Delta County, Colorado",24417,1982,(X),(X)
0500000US08031,08031,"Denver County, Colorado",35218,421,(X),(X)
0500000US08033,08033,"Dolores County, Colorado",20199,2034,(X),(X)
0500000US08035,08035,"Douglas County, Colorado",45500,795,(X),(X)
0500000US08037,08037,"Eagle County, Colorado",38193,1999,(X),(X)
0500000US08039,08039,"Elbert County, Colorado",38021,2373,(X),(X)
0500000US08041,08041,"El Paso County, Colorado",29659,445,(X),(X)
0500000US08043,08043,"Fremont County, Colorado",18619,1076,(X),(X)
0500000US08045,08045,"Garfield County, Colorado",27574,844,(X),(X)
0500000US08047,08047,"Gilpin County, Colorado",38361,4969,(X),(X)
0500000US08049,08049,"Grand County, Colorado",31432,3233,(X),(X)
0500000US08051,08051,"Gunnison County, Colorado",25584,1383,(X),(X)
0500000US08053,08053,"Hinsdale County, Colorado",33816,5043,(X),(X)
0500000US08055,08055,"Huerfano County, Colorado",23467,2408,(X),(X)
0500000US08057,08057,"Jackson County, Colorado",27938,3246,(X),(X)
0500000US08059,08059,"Jefferson County, Colorado",37065,442,(X),(X)
0500000US08061,08061,"Kiowa County, Colorado",22731,2560,(X),(X)
0500000US08063,08063,"Kit Carson County, Colorado",21769,2842,(X),(X)
0500000US08065,08065,"Lake County, Colorado",24399,2347,(X),(X)
0500000US08067,08067,"La Plata County, Colorado",31822,1114,(X),(X)
0500000US08069,08069,"Larimer County, Colorado",31304,446,(X),(X)
0500000US08071,08071,"Las Animas County, Colorado",22935,1589,(X),(X)
0500000US08073,08073,"Lincoln County, Colorado",15203,2328,(X),(X)
0500000US08075,08075,"Logan County, Colorado",23916,1509,(X),(X)
